[Wed May 18 15:31:42 CEST 2022][INFO] DisplayModes: 154 (Fenster.java:203)
[Wed May 18 15:31:42 CEST 2022][INFO] 1: Breite: 640, Höhe: 480 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 2: Breite: 640, Höhe: 480 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 3: Breite: 640, Höhe: 480 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 4: Breite: 640, Höhe: 480 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 5: Breite: 640, Höhe: 480 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 6: Breite: 640, Höhe: 480 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 7: Breite: 640, Höhe: 480 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 8: Breite: 800, Höhe: 600 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 9: Breite: 800, Höhe: 600 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 10: Breite: 800, Höhe: 600 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 11: Breite: 800, Höhe: 600 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 12: Breite: 800, Höhe: 600 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 13: Breite: 800, Höhe: 600 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 14: Breite: 1024, Höhe: 768 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 15: Breite: 1024, Höhe: 768 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 16: Breite: 1024, Höhe: 768 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 17: Breite: 1024, Höhe: 768 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 18: Breite: 1024, Höhe: 768 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 19: Breite: 1024, Höhe: 768 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 20: Breite: 1152, Höhe: 864 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 21: Breite: 1152, Höhe: 864 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 22: Breite: 1152, Höhe: 864 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 23: Breite: 1152, Höhe: 864 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 24: Breite: 1176, Höhe: 664 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 25: Breite: 1176, Höhe: 664 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 26: Breite: 1176, Höhe: 664 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 27: Breite: 1280, Höhe: 720 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 28: Breite: 1280, Höhe: 720 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 29: Breite: 1280, Höhe: 720 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 30: Breite: 1280, Höhe: 720 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 31: Breite: 1280, Höhe: 720 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 32: Breite: 1280, Höhe: 720 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 33: Breite: 1280, Höhe: 720 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 34: Breite: 1280, Höhe: 960 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 35: Breite: 1280, Höhe: 960 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 36: Breite: 1280, Höhe: 960 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 37: Breite: 1280, Höhe: 960 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 38: Breite: 1280, Höhe: 1024 (Fenster.java:206)
[Wed May 18 15:31:42 CEST 2022][INFO] 39: Breite: 1280, Höhe: 1024 (Fenster.java:206)
